class_label,precision,recall,f1,support
0,0.15384615384615385,0.2,0.17391304347826086,10
1,0.125,0.1,0.1111111111111111,10
2,0.2857142857142857,0.2,0.23529411764705882,10
3,0.0,0.0,0.0,10
4,0.6666666666666666,0.2,0.3076923076923077,10
5,0.15384615384615385,0.2,0.17391304347826086,10
6,0.125,0.1,0.1111111111111111,10
7,0.0,0.0,0.0,10
8,0.07692307692307693,0.1,0.08695652173913043,10
9,0.6666666666666666,0.2,0.3076923076923077,10
10,0.0,0.0,0.0,10
11,0.2,0.1,0.13333333333333333,10
12,0.0,0.0,0.0,10
13,0.0,0.0,0.0,10
14,0.15384615384615385,0.2,0.17391304347826086,10
15,0.1111111111111111,0.1,0.10526315789473684,10
16,0.0,0.0,0.0,10
17,0.0,0.0,0.0,10
18,0.07142857142857142,0.1,0.08333333333333333,10
19,0.0,0.0,0.0,10
20,0.0,0.0,0.0,10
21,0.25,0.2,0.2222222222222222,10
22,0.03125,0.1,0.047619047619047616,10
23,0.25,0.1,0.14285714285714285,10
24,0.0,0.0,0.0,10
25,0.0,0.0,0.0,10
26,0.3333333333333333,0.1,0.15384615384615385,10
27,0.0,0.0,0.0,10
28,0.0,0.0,0.0,10
29,0.0,0.0,0.0,10
30,0.0,0.0,0.0,10
31,0.14285714285714285,0.2,0.16666666666666666,10
32,0.0,0.0,0.0,10
