class_index,species_name,precision,recall,f1,support,correct_predictions
394,Kalmia polifolia,0.2222222222222222,0.2,0.21052631578947367,10,2
395,Leptecophylla tameiameiae,0.5,0.4,0.4444444444444444,10,4
396,Rhododendron occidentale,0.8571428571428571,0.6,0.7058823529411765,10,6
397,Sarcodes sanguinea,0.625,1.0,0.7692307692307693,10,10
398,Gilia stellata,0.6,0.6,0.6,10,6
399,Symplocos tinctoria,0.16666666666666666,0.3,0.21428571428571427,10,3
400,Dichrostachys cinerea,0.4,0.4,0.4,10,4
401,Erythrina herbacea,0.45454545454545453,0.5,0.47619047619047616,10,5
402,Genista tinctoria,0.4090909090909091,0.9,0.5625,10,9
403,Hosackia gracilis,0.75,0.6,0.6666666666666666,10,6
