model,degradation,severity_level,parameter,top1_accuracy,overall_accuracy,top5_accuracy,macro_precision,macro_recall,macro_f1,num_samples,inference_seconds,images_per_second
scratch_resnet18_resumed,gaussian_blur,3,radius=1.5,0.0372,0.0372,0.1394,0.0333094434330939,0.0372,0.0239224983455129,5000,30.806451299984477,162.30366657007716
scratch_resnet18_resumed,gaussian_blur,4,radius=2.0,0.0266,0.0266,0.1056,0.0209427988502835,0.0266,0.0168558590039313,5000,30.762677100021392,162.53461893914698
scratch_resnet18_resumed,gaussian_blur,5,radius=3.0,0.0154,0.0154,0.0674,0.0126048360888317,0.0154,0.0091744428188488,5000,30.748783499991987,162.6080589497566
scratch_resnet18_resumed,gaussian_noise,1,sigma=8,0.0494,0.0494,0.17,0.0431251976598347,0.0494,0.0314174092926152,5000,46.74302970001008,106.96782027372352
scratch_resnet18_resumed,gaussian_noise,2,sigma=16,0.0456,0.0456,0.158,0.042083378055304,0.0456,0.0277303220114264,5000,45.69624509999994,109.41818061983405
scratch_resnet18_resumed,gaussian_noise,3,sigma=24,0.035,0.035,0.1186,0.0279849375184121,0.035,0.0196161336360583,5000,36.674428199999966,136.33477726586628
scratch_resnet18_resumed,gaussian_noise,4,sigma=32,0.0282,0.0282,0.09,0.0222748087780509,0.0282,0.0147052223060217,5000,45.9866680999985,108.72716390601396
scratch_resnet18_resumed,gaussian_noise,5,sigma=40,0.0204,0.0204,0.0692,0.0163889322824482,0.0203999999999999,0.0105990689860589,5000,45.26046080002561,110.47169895356367
scratch_resnet18_resumed,jpeg_compression,1,quality=80,0.0498,0.0498,0.1708,0.046155453034362,0.0498,0.031790087065816,5000,26.59359529998619,188.0151947714492
scratch_resnet18_resumed,jpeg_compression,2,quality=60,0.0486,0.0486,0.1714,0.0446511723056633,0.0486,0.0315711179849794,5000,26.71178190002684,187.18331928260375
scratch_resnet18_resumed,jpeg_compression,3,quality=40,0.048,0.048,0.1708,0.0463030835211677,0.048,0.0317375615329425,5000,26.80197390000103,186.55342396254656
scratch_resnet18_resumed,jpeg_compression,4,quality=20,0.0482,0.0482,0.1648,0.0429498728890368,0.0482,0.030955028261392,5000,26.63805050001247,187.70142357067985
scratch_resnet18_resumed,jpeg_compression,5,quality=10,0.0456,0.0456,0.156,0.0342525264427462,0.0456,0.0286439986104649,5000,26.264020000002347,190.3745123556696
scratch_resnet18_resumed,motion_blur,1,kernel_size=3,0.0502,0.0502,0.1688,0.0409652379149088,0.0502,0.0307838724801887,5000,36.83739360002801,135.7316441626912
scratch_resnet18_resumed,motion_blur,2,kernel_size=5,0.0456,0.0456,0.1584,0.0400316999883042,0.0456,0.0290583738029522,5000,37.07047090004198,134.87824348069822
scratch_resnet18_resumed,motion_blur,3,kernel_size=7,0.0396,0.0396,0.1402,0.0385100831584385,0.0396,0.0265268003142069,5000,36.51728600001661,136.92145686833695
scratch_resnet18_resumed,motion_blur,4,kernel_size=9,0.033,0.033,0.1188,0.0351237976385233,0.033,0.0223972183966613,5000,38.52610390004702,129.78213454887916
scratch_resnet18_resumed,motion_blur,5,kernel_size=13,0.0216,0.0216,0.0904,0.0201125986034686,0.0215999999999999,0.0146486608357753,5000,40.33983069995884,123.94697531551866
traditional_sift_bovw_svm,clean,0,cached_clean_bovw,0.0892,0.0892,0.205,0.10237175371621993,0.08920000000000002,0.08384378574256598,5000,0.020138900028541684,248275.72473738846
traditional_sift_bovw_svm,gaussian_blur,1,radius=0.5,0.0858,0.0858,0.204,0.09708335384413383,0.08580000000000002,0.08043954432616875,5000,248.98771459999261,20.081312076110557
traditional_sift_bovw_svm,gaussian_blur,2,radius=1.0,0.0572,0.0572,0.1424,0.07786523645313805,0.0572,0.05157163333062846,5000,249.2674151000101,20.058779034531728
traditional_sift_bovw_svm,gaussian_blur,3,radius=1.5,0.034,0.034,0.098,0.044262433200907565,0.034,0.030709755527531548,5000,176.42898419999983,28.340014667499315
traditional_sift_bovw_svm,gaussian_blur,4,radius=2.0,0.025,0.025,0.0776,0.028244133125167447,0.025,0.02031766479404801,5000,121.09896640002262,41.28854397884494
traditional_sift_bovw_svm,gaussian_blur,5,radius=3.0,0.012,0.012,0.0448,0.01130551023140148,0.012,0.007772110885085595,5000,107.64674679999007,46.448222065550254
traditional_sift_bovw_svm,gaussian_noise,1,sigma=8,0.0836,0.0836,0.201,0.10113125288589052,0.0836,0.07859800493184867,5000,247.34990210004617,20.214279276236134
traditional_sift_bovw_svm,gaussian_noise,2,sigma=16,0.0806,0.0806,0.1896,0.09866955989048176,0.08059999999999999,0.07619837664639709,5000,240.15270400000736,20.820086206482383
traditional_sift_bovw_svm,gaussian_noise,3,sigma=24,0.068,0.068,0.1694,0.08052602131586595,0.068,0.060534730995796246,5000,273.1093126999913,18.30768768215702
traditional_sift_bovw_svm,gaussian_noise,4,sigma=32,0.0534,0.0534,0.1388,0.06648437918641897,0.0534,0.04505987879513614,5000,282.5065330999787,17.698705743666842
traditional_sift_bovw_svm,gaussian_noise,5,sigma=40,0.0456,0.0456,0.1162,0.0534173975449651,0.04560000000000001,0.036021962040969316,5000,265.3492586000357,18.843090146095204
traditional_sift_bovw_svm,jpeg_compression,1,quality=80,0.0902,0.0902,0.204,0.10192777625478215,0.0902,0.08373141635779865,5000,259.25498809997225,19.286032012899717
traditional_sift_bovw_svm,jpeg_compression,2,quality=60,0.086,0.086,0.2048,0.09797693853892818,0.086,0.07886015038099313,5000,286.1847903999733,17.47122896717179
traditional_sift_bovw_svm,jpeg_compression,3,quality=40,0.0898,0.0898,0.2048,0.10133951491825627,0.08979999999999999,0.08279088455876636,5000,306.7438672000426,16.300244388388233
traditional_sift_bovw_svm,jpeg_compression,4,quality=20,0.0786,0.0786,0.194,0.09522465269065314,0.07859999999999999,0.07084546183884169,5000,287.0734868000145,17.417143100655533
traditional_sift_bovw_svm,jpeg_compression,5,quality=10,0.0672,0.0672,0.1804,0.08995810696143075,0.06720000000000001,0.06226944536238526,5000,269.5682377999765,18.548179269213726
traditional_sift_bovw_svm,motion_blur,1,kernel_size=3,0.0642,0.0642,0.1608,0.08393458604248732,0.06420000000000001,0.06133731991949723,5000,246.99427199998172,20.243384429580498
traditional_sift_bovw_svm,motion_blur,2,kernel_size=5,0.0382,0.0382,0.114,0.05318426906652425,0.038200000000000005,0.034691290190734574,5000,230.8448200999992,21.659571992276284
traditional_sift_bovw_svm,motion_blur,3,kernel_size=7,0.02,0.02,0.0704,0.03240443776864474,0.020000000000000004,0.018577879101535154,5000,237.37871049996465,21.063388496251623
traditional_sift_bovw_svm,motion_blur,4,kernel_size=9,0.0184,0.0184,0.0568,0.027315012394372874,0.0184,0.016079246096586314,5000,235.91672929999186,21.193918781579907
traditional_sift_bovw_svm,motion_blur,5,kernel_size=13,0.008,0.008,0.035,0.012862218086116237,0.008,0.006859203436576649,5000,216.1244135000161,23.134822758001967
