class_index,category_id,species_name,precision,recall,f1,support,correct_predictions
86,1604,Cosmia calami,0.6363636363636364,0.7,0.6666666666666666,10,7
87,1612,Deltote pygarga,0.6153846153846154,0.8,0.6956521739130435,10,8
88,1638,Ichneutica mutans,0.375,0.6,0.46153846153846156,10,6
89,1654,Marimatha nigrofimbria,0.8,0.8,0.8,10,8
90,1674,Orthosia gothica,0.8333333333333334,0.5,0.625,10,5
91,1679,Papaipema inquaesita,0.8333333333333334,1.0,0.9090909090909091,10,10
92,1684,Phlogophora periculosa,0.6666666666666666,0.8,0.7272727272727273,10,8
93,1697,Psychomorpha epimenis,0.75,0.9,0.8181818181818182,10,9
94,1743,Macrurocampa marthesia,0.46153846153846156,0.6,0.5217391304347826,10,6
95,1753,Pheosidea elegans,0.6153846153846154,0.8,0.6956521739130435,10,8
96,1771,Aglais urticae,0.8888888888888888,0.8,0.8421052631578947,10,8
97,1776,Anartia fatima,0.5,0.3,0.375,10,3
98,1790,Asterocampa clyton,0.42857142857142855,0.3,0.35294117647058826,10,3
99,1796,Boloria chariclea,0.6,0.6,0.6,10,6
100,1824,Cyllopsis gemma,0.7,0.7,0.7,10,7
101,1827,Danaus eresimus,1.0,1.0,1.0,10,10
102,1832,Danaus plexippus,0.625,0.5,0.5555555555555556,10,5
103,1876,Historis odius,0.875,0.7,0.7777777777777778,10,7
104,1889,Junonia lemonias,0.5714285714285714,0.4,0.47058823529411764,10,4
105,1891,Junonia oenone,1.0,0.5,0.6666666666666666,10,5
106,1894,Junonia villida,1.0,0.6,0.75,10,6
107,1964,Pyronia cecilia,0.8,0.8,0.8,10,8
108,1982,Tisiphone abeona,0.8181818181818182,0.9,0.8571428571428571,10,9
109,2041,Parnassius smintheus,1.0,0.8,0.8888888888888888,10,8
110,2045,Abaeis nicippe,0.5,0.4,0.4444444444444444,10,4
111,2060,Catopsilia pomona,0.7,0.7,0.7,10,7
112,2085,Mylothris agathina,0.8181818181818182,0.9,0.8571428571428571,10,9
113,2088,Pareronia hippia,1.0,0.8,0.8888888888888888,10,8
114,2103,Pyrisitia lisa,0.75,0.6,0.6666666666666666,10,6
115,2143,Hamearis lucina,0.5714285714285714,0.4,0.47058823529411764,10,4
116,2144,Melanis cephise,1.0,1.0,1.0,10,10
117,2167,Saturnia pyri,0.875,0.7,0.7777777777777778,10,7
118,2170,Synanthedon acerni,0.8,0.8,0.8,10,8
119,2200,Hyles gallii,0.625,0.5,0.5555555555555556,10,5
120,2266,Syricoris lacunana,1.0,0.8,0.8888888888888888,10,8
121,2286,Pseudomantis albofimbriata,0.2857142857142857,0.2,0.23529411764705882,10,2
122,2287,Stagmomantis carolina,0.375,0.3,0.3333333333333333,10,3
123,2296,Corydalus cornutus,0.7777777777777778,0.7,0.7368421052631579,10,7
124,2340,Agriocnemis femina,0.75,0.9,0.8181818181818182,10,9
125,2414,Epitheca princeps,0.625,0.5,0.5555555555555556,10,5
126,2426,Dromogomphus spoliatus,0.7,0.7,0.7,10,7
127,2442,Stylogomphus albistylus,0.125,0.1,0.1111111111111111,10,1
128,2504,Libellula axilena,0.5,0.6,0.5454545454545454,10,6
129,2532,Orthetrum brunneum,0.3,0.3,0.3,10,3
130,2536,Orthetrum chrysostigma,0.4,0.2,0.26666666666666666,10,2
131,2546,Pachydiplax longipennis,0.3,0.3,0.3,10,3
132,2547,Palpopleura lucia,0.7777777777777778,0.7,0.7368421052631579,10,7
133,2579,Tramea lacerata,0.6,0.3,0.4,10,3
134,2584,Trithemis festiva,0.5,0.6,0.5454545454545454,10,6
135,2591,Tachopteryx thoreyi,0.4166666666666667,0.5,0.45454545454545453,10,5
136,2608,Chrysochraon dispar,0.7777777777777778,0.7,0.7368421052631579,10,7
137,2615,Leptysma marginicollis,0.5833333333333334,0.7,0.6363636363636364,10,7
138,2621,Mermiria bivittata,0.5454545454545454,0.6,0.5714285714285714,10,6
139,2646,Gryllus campestris,0.36363636363636365,0.4,0.38095238095238093,10,4
140,2647,Gryllus pennsylvanicus,0.42857142857142855,0.3,0.35294117647058826,10,3
141,2662,Tropidacris collaris,0.6,0.6,0.6,10,6
142,2664,Anabrus simplex,0.6,0.6,0.6,10,6
143,2677,Neoconocephalus triops,0.5,0.4,0.4444444444444444,10,4
144,2697,Cerastipsocus venosus,0.4166666666666667,0.5,0.45454545454545453,10,5
145,2705,Cancer irroratus,0.875,0.7,0.7777777777777778,10,7
146,2724,Leptuca pugilator,0.75,0.6,0.6666666666666666,10,6
147,2780,Megalops atlanticus,1.0,0.7,0.8235294117647058,10,7
148,2803,Lepomis gulosus,0.9,0.9,0.9,10,9
149,2851,Schuettea scalaripinnis,0.875,0.7,0.7777777777777778,10,7
150,2900,Oncorhynchus mykiss,0.6428571428571429,0.9,0.75,10,9
151,2925,Dicotylichthys punctulatus,0.6666666666666666,1.0,0.8,10,10
152,2927,Diodon hystrix,0.5454545454545454,0.6,0.5714285714285714,10,6
153,2938,Tetractenos glaber,0.8,0.8,0.8,10,8
154,3006,Hyperolius marmoratus,0.5555555555555556,0.5,0.5263157894736842,10,5
155,3044,Rana draytonii,0.18181818181818182,0.2,0.19047619047619047,10,2
156,3111,Accipiter badius,0.23076923076923078,0.3,0.2608695652173913,10,3
157,3114,Accipiter nisus,0.25,0.1,0.14285714285714285,10,1
158,3116,Accipiter trivirgatus,0.3,0.3,0.3,10,3
159,3119,Aquila chrysaetos,0.6666666666666666,0.6,0.631578947368421,10,6
160,3139,Chondrohierax uncinatus,0.3,0.3,0.3,10,3
161,3143,Circus approximans,0.45454545454545453,0.5,0.47619047619047616,10,5
162,3150,Elanus axillaris,0.5,0.4,0.4444444444444444,10,4
163,3164,Haliastur indus,0.5714285714285714,0.8,0.6666666666666666,10,8
164,3228,Branta leucopsis,0.5384615384615384,0.7,0.6086956521739131,10,7
165,3257,Melanitta deglandi,0.5,0.5,0.5,10,5
166,3258,Melanitta perspicillata,0.3333333333333333,0.4,0.36363636363636365,10,4
167,3262,Netta peposaca,0.6666666666666666,0.8,0.7272727272727273,10,8
168,3269,Spatula cyanoptera,1.0,0.7,0.8235294117647058,10,7
169,3295,Nyctibius griseus,0.6153846153846154,0.8,0.6956521739130435,10,8
170,3335,Sarcoramphus papa,0.6666666666666666,0.8,0.7272727272727273,10,8
171,3346,Burhinus grallarius,0.5833333333333334,0.7,0.6363636363636364,10,7
172,3432,Sterna hirundo,0.7,0.7,0.7,10,7
173,3441,Himantopus himantopus,0.5,0.4,0.4444444444444444,10,4
174,3443,Himantopus mexicanus,0.8,0.4,0.5333333333333333,10,4
175,3450,Arenaria melanocephala,0.3,0.3,0.3,10,3
176,3456,Calidris canutus,0.6,0.6,0.6,10,6
177,3470,Calidris virgata,0.45454545454545453,0.5,0.47619047619047616,10,5
178,3483,Phalaropus fulicarius,0.5555555555555556,0.5,0.5263157894736842,10,5
179,3492,Tringa melanoleuca,0.42857142857142855,0.3,0.35294117647058826,10,3
180,3501,Anastomus oscitans,0.5,0.4,0.4444444444444444,10,4
181,3502,Ciconia ciconia,0.625,0.5,0.5555555555555556,10,5
182,3510,Mycteria leucocephala,0.75,0.6,0.6666666666666666,10,6
183,3527,Patagioenas cayennensis,0.36363636363636365,0.4,0.38095238095238093,10,4
184,3566,Coracias garrulus,0.6363636363636364,0.7,0.6666666666666666,10,7
185,3582,Coccyzus americanus,0.4166666666666667,0.5,0.45454545454545453,10,5
186,3593,Caracara plancus,0.75,0.6,0.6666666666666666,10,6
187,3598,Falco mexicanus,0.3,0.3,0.3,10,3
188,3608,Herpetotheres cachinnans,0.6666666666666666,0.8,0.7272727272727273,10,8
189,3611,Galbula ruficauda,0.7272727272727273,0.8,0.7619047619047619,10,8
190,3644,Gavia stellata,0.8,0.4,0.5333333333333333,10,4
191,3652,Amaurornis phoenicurus,0.625,0.5,0.5555555555555556,10,5
192,3657,Fulica armillata,0.5384615384615384,0.7,0.6086956521739131,10,7
193,3680,Gerygone igata,0.4444444444444444,0.4,0.42105263157894735,10,4
194,3681,Sericornis frontalis,0.5,0.8,0.6153846153846154,10,8
195,3728,Certhia americana,0.5,0.6,0.5454545454545454,10,6
196,3733,Cisticola exilis,0.6666666666666666,0.4,0.5,10,4
197,3750,Corvus caurinus,0.75,0.6,0.6666666666666666,10,6
198,3752,Corvus cornix,0.5714285714285714,0.4,0.47058823529411764,10,4
199,3770,Nucifraga caryocatactes,0.2,0.2,0.2,10,2
200,3811,Carpodacus sibiricus,0.6666666666666666,0.6,0.631578947368421,10,6
201,3814,Coccothraustes coccothraustes,0.4166666666666667,0.5,0.45454545454545453,10,5
202,3848,Hirundo neoxena,0.3333333333333333,0.3,0.3157894736842105,10,3
203,3853,Petrochelidon pyrrhonota,0.3,0.3,0.3,10,3
204,3872,Dives dives,0.5,0.6,0.5454545454545454,10,6
205,3878,Icterus chrysater,0.5714285714285714,0.8,0.6666666666666666,10,8
206,3899,Quiscalus mexicanus,0.5714285714285714,0.4,0.47058823529411764,10,4
207,3910,Lanius excubitor,0.4166666666666667,0.5,0.45454545454545453,10,5
208,3923,Acanthorhynchus tenuirostris,0.8333333333333334,0.5,0.625,10,5
209,3946,Oreoscoptes montanus,0.5384615384615384,0.7,0.6086956521739131,10,7
210,3981,Luscinia luscinia,0.47058823529411764,0.8,0.5925925925925926,10,8
211,4002,Aethopyga siparaja,0.7272727272727273,0.8,0.7619047619047619,10,8
212,4010,Cinnyris jugularis,0.4,0.2,0.26666666666666666,10,2
213,4011,Hedydipna collaris,0.6,0.3,0.4,10,3
214,4012,Leptocoma zeylonica,0.4166666666666667,0.5,0.45454545454545453,10,5
215,4033,Lophophanes cristatus,0.875,0.7,0.7777777777777778,10,7
216,4040,Poecile hudsonicus,0.5,0.3,0.375,10,3
217,4061,Parkesia motacilla,0.625,0.5,0.5555555555555556,10,5
218,4065,Setophaga americana,0.46153846153846156,0.6,0.5217391304347826,10,6
219,4073,Setophaga dominica,0.8571428571428571,0.6,0.7058823529411765,10,6
220,4088,Setophaga virens,0.8333333333333334,0.5,0.625,10,5
221,4092,Ammodramus savannarum,0.5833333333333334,0.7,0.6363636363636364,10,7
222,4114,Peucaea carpalis,0.7,0.7,0.7,10,7
223,4119,Pipilo maculatus,0.5,0.7,0.5833333333333334,10,7
224,4173,Pycnonotus goiavier,0.25,0.2,0.2222222222222222,10,2
225,4272,Myadestes townsendi,0.5,0.6,0.5454545454545454,10,6
226,4279,Turdus fuscater,0.4,0.4,0.4,10,4
227,4291,Turdus viscivorus,0.25,0.3,0.2727272727272727,10,3
228,4304,Empidonax occidentalis,0.0,0.0,0.0,10,0
229,4315,Myiarchus tuberculifer,0.4166666666666667,0.5,0.45454545454545453,10,5
230,4325,Sayornis saya,0.45454545454545453,0.5,0.47619047619047616,10,5
231,4333,Tyrannus savana,0.6,0.6,0.6,10,6
232,4339,Vireo bellii,0.125,0.1,0.1111111111111111,10,1
233,4342,Vireo flavoviridis,0.15384615384615385,0.2,0.17391304347826086,10,2
234,4345,Vireo huttoni,1.0,0.2,0.3333333333333333,10,2
