class_index,species_name,precision,recall,f1,support,correct_predictions
127,Stylogomphus albistylus,0.2,0.1,0.13333333333333333,10,1
128,Libellula axilena,0.1875,0.3,0.23076923076923078,10,3
129,Orthetrum brunneum,0.07142857142857142,0.1,0.08333333333333333,10,1
130,Orthetrum chrysostigma,0.125,0.1,0.1111111111111111,10,1
131,Pachydiplax longipennis,0.0,0.0,0.0,10,0
132,Palpopleura lucia,0.1875,0.3,0.23076923076923078,10,3
133,Tramea lacerata,0.2,0.1,0.13333333333333333,10,1
134,Trithemis festiva,0.1875,0.3,0.23076923076923078,10,3
135,Tachopteryx thoreyi,0.23076923076923078,0.3,0.2608695652173913,10,3
136,Chrysochraon dispar,0.07692307692307693,0.1,0.08695652173913043,10,1
137,Leptysma marginicollis,0.4,0.2,0.26666666666666666,10,2
138,Mermiria bivittata,0.2,0.1,0.13333333333333333,10,1
139,Gryllus campestris,0.0,0.0,0.0,10,0
140,Gryllus pennsylvanicus,0.08333333333333333,0.1,0.09090909090909091,10,1
141,Tropidacris collaris,0.0,0.0,0.0,10,0
142,Anabrus simplex,0.25,0.1,0.14285714285714285,10,1
143,Neoconocephalus triops,0.14285714285714285,0.2,0.16666666666666666,10,2
144,Cerastipsocus venosus,0.25,0.1,0.14285714285714285,10,1
145,Cancer irroratus,0.1111111111111111,0.1,0.10526315789473684,10,1
146,Leptuca pugilator,0.125,0.2,0.15384615384615385,10,2
147,Megalops atlanticus,0.23076923076923078,0.3,0.2608695652173913,10,3
148,Lepomis gulosus,0.3333333333333333,0.4,0.36363636363636365,10,4
149,Schuettea scalaripinnis,0.5,0.6,0.5454545454545454,10,6
150,Oncorhynchus mykiss,0.07142857142857142,0.1,0.08333333333333333,10,1
151,Dicotylichthys punctulatus,0.0,0.0,0.0,10,0
152,Diodon hystrix,0.125,0.1,0.1111111111111111,10,1
153,Tetractenos glaber,0.08333333333333333,0.1,0.09090909090909091,10,1
154,Hyperolius marmoratus,0.0,0.0,0.0,10,0
155,Rana draytonii,0.0,0.0,0.0,10,0
